label_Framework,type_Framework,label_Objective,Flowerplot_connection,type_Objective,source,National_goal,GBF_target
Gully CO,Site-level Conservation Objectives,Minimize harmful impacts from human activities on cetacean populations and their habitats;,Threats to Habitat,Habitat,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/gully/index-eng.html,1,"4, 7, 9, 10"
Gully CO,Site-level Conservation Objectives,Minimize the disturbance of seafloor habitat and associated benthic communities caused by human activities;,Threats to Habitat,Habitat,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/gully/index-eng.html,1,"4, 7, 9, 10"
Gully CO,Site-level Conservation Objectives,Maintain and monitor the quality of water and sediments of the Gully; and,Environmental Representativity,Habitat,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/gully/index-eng.html,2,"1, 3"
Gully CO,Site-level Conservation Objectives,Manage human activities to minimize impacts on other commercial and non-commercial living resources.,Threats to Productivity,Productivity,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/gully/index-eng.html,1,"4, 5, 9, 10"
Musquash CO,Site-level Conservation Objectives,Maintain productivity of harvested species;,Productivity,Productivity,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/musquash/index-eng.html,2,"4, 5, 9, 10"
Musquash CO,Site-level Conservation Objectives,"Maintain biodiversity of individual species, communities, and populations within the different ecotypes; and",Biodiversity,Biodiversity,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/musquash/index-eng.html,2,"1, 3"
Musquash CO,Site-level Conservation Objectives,"Safeguard habitat, including the physical and chemical properties of the ecosystem, by maintaining water and sediment quality.",Habitat,Habitat,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/musquash/index-eng.html,1,"1, 3, 7 "
Corsair and Georges Canyons CO,Site-level Conservation Objectives,Protect cold-water corals,Uniqueness,Habitat,https://www.dfo-mpo.gc.ca/oceans/oecm-amcepz/refuges/corsair-eng.html,1,"1, 3"
Eastern Canyons CO,Site-level Conservation Objectives,Protect cold-water corals and deep water frontier area,Uniqueness,Habitat,https://www.dfo-mpo.gc.ca/oceans/oecm-amcepz/refuges/eastern-canyons-est-eng.html,1,"1,3 "
Emerald Basin and Sambro Bank Sponge CO ,Site-level Conservation Objectives,Protect Vazella pourtalesi glass sponges,Uniqueness,Habitat,https://www.dfo-mpo.gc.ca/oceans/oecm-amcepz/refuges/emerald-emeraude-eng.html,1,"1, 3"
